"clinc150","in spanish, meet me tomorrow is said how","translate"
"clinc150","in french, how do i say, see you later","translate"
"clinc150","how do you say hello in japanese","translate"
"clinc150","how do i ask about the weather in chinese","translate"
"clinc150","how can i say cancel my order in french","translate"
"clinc150","how do i say dinner in spanish","translate"
"clinc150","how do you say good bye in french","translate"
"clinc150","how do i say thank you in spanish","translate"
"clinc150","how do i say good bye in chinese","translate"
"clinc150","how can i say thank you very much in chinese","translate"
"clinc150","i need to know how to say hello in france","translate"
"clinc150","would you tell me how to say goodbye in france","translate"
"clinc150","how do you say hello in mexico","translate"
"clinc150","tell me how to say hello in chile","translate"
"clinc150","i want to know how to say goodbye in france","translate"
"clinc150","would you translate a sentence into russian for me, please","translate"
"clinc150","would you translate a phrase into mandarin for me","translate"
"clinc150","can you translate this name into spanish for me, please","translate"
"clinc150","could you translate this into chinese for me, please","translate"
"clinc150","could you translate water into dutch for me","translate"
"clinc150","transfer ten dollars from my wells fargo account to my bank of america account","transfer"
"clinc150","take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account","transfer"
"clinc150","put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account","transfer"
"clinc150","move two hundred dollars to my chase savings account to my wells fargo checking account","transfer"
"clinc150","move three hundred and fifty dollars from my citibank savings account to my chase savings account","transfer"
"clinc150","move a dollar from my checkings to my savings","transfer"
"clinc150","move my money to the other account","transfer"
"clinc150","transfer funds to the other account","transfer"
"clinc150","please transfer half of my funds to an alternate account","transfer"
"clinc150","can you move my money to my savings","transfer"
"clinc150","make an eft to my savings from my checking account","transfer"
"clinc150","send 100 dollars from my vanguard money market to my wells fargo savings","transfer"
"clinc150","i need 200 dollars transferred from my long island savings account to my chase checking","transfer"
"clinc150","send from my bbc money market to my t rowe price money market seven thousand dollars","transfer"
"clinc150","i need 2000 to go to my chase checking from my mellon bank savings account","transfer"
"clinc150","move 100 dollars from my savings to my checking","transfer"
"clinc150","transfer 1000 dollars from my first national bank to my bethpage federal credit union savings","transfer"
